id_client;age;sexe;situation_familiale;statut_logement;revenu;flag_tel;flag_email;nb_credits_total;mt_credits_total;nb_credits_actuel;mt_credits_actuel;mt_echeances_actuel;duree_remboursement_actuel;mt_premier_credit;anc_premier_credit;canal_premier_credit;mt_dernier_credit;anc_dernier_credit;canal_dernier_credit
ID_000128484190;46;M;Marié;Locataire;1733.33;1;0;3;9163;1;4426;274.44;1;3333.33;1587;Partenaire;4666.67;209;Partenaire
ID_000129102442;31;F;Divorcé;Locataire;1562.40;1;0;2;3733;0;0;0.00;;1066.67;1223;Partenaire;2666.67;24;Agence
ID_000133564891;48;F;Célibataire;;;1;0;4;6758;3;2129;128.93;1;1733.33;1860;Partenaire;666.67;1428;Partenaire
ID_000139328287;47;M;Union libre;Propriétaire;1866.67;1;0;4;9200;1;2963;68.11;1;1333.33;1847;Partenaire;2666.67;104;Agence
ID_000139973030;50;F;Célibataire;;;1;0;6;5200;2;2186;168.75;3;400.00;3637;Partenaire;2000.00;171;Mailing
ID_000144493404;54;F;Célibataire;;;1;0;6;13200;3;5104;229.18;4;2666.67;3630;Agence;1333.33;34;Mailing
ID_000146281958;59;M;Célibataire;;;1;0;11;27966;1;868;1859.41;0;2666.67;3381;Partenaire;3333.33;648;Agence
ID_000149392897;22;F;Union libre;Propriétaire;2186.67;1;0;3;2467;2;1606;48.10;2;333.20;1402;Partenaire;800.00;259;Partenaire
ID_000152011954;55;F;Célibataire;Locataire;1314.53;1;0;6;9067;4;4353;178.48;4;2133.33;7446;Partenaire;2666.67;497;Mailing
ID_000154374894;33;M;Divorcé;Locataire;1600.00;1;0;3;4599;2;4008;154.13;4;332.53;1630;Partenaire;1600.00;150;Partenaire
ID_000159279975;45;F;Marié;Propriétaire;1533.33;1;0;5;10400;1;5373;2651.67;6;400.00;6509;Partenaire;5333.33;55;Partenaire
ID_000166751915;32;F;Célibataire;;;1;0;5;8000;3;4218;222.53;2;1333.33;1942;Partenaire;1333.33;34;Mailing
ID_000172617785;53;M;Célibataire;;;1;0;4;7467;3;4513;151.86;5;2266.67;1953;Partenaire;3333.33;510;Mailing
ID_000187947017;42;M;Divorcé;Propriétaire;2465.47;1;0;5;11493;1;3521;4187.20;2;2160.00;;Partenaire;4000.00;509;Agence
ID_000188086544;56;M;Célibataire;;;1;0;3;8667;3;5164;290.48;3;4000.00;1243;Agence;3333.33;160;Mailing
ID_000189425292;53;F;Célibataire;;;1;0;9;13200;3;3145;203.90;2;666.67;3701;Partenaire;1333.33;503;Mailing
ID_000198626472;38;F;Célibataire;;;1;0;3;6060;2;3128;131.88;1;2326.86;2523;Partenaire;2666.67;329;Mailing
ID_000202063672;59;M;Célibataire;;;1;0;5;7370;3;6121;164.87;5;703.44;;Partenaire;1333.33;49;Mailing
ID_000214652600;57;M;Marié;;;1;0;7;34170;2;5514;343.60;3;14807.73;;Partenaire;1333.33;167;Mailing
ID_000223277632;19;M;Célibataire;;1061.47;1;0;4;5523;2;2819;1259.89;3;1173.33;578;Partenaire;1333.33;68;Mailing
ID_000223708288;36;F;Célibataire;;;1;0;4;8667;2;5220;164.68;5;2000.00;3899;Partenaire;3333.33;172;Mailing
ID_000228713984;50;M;Célibataire;Locataire;2066.67;1;0;3;8267;1;6223;1539.11;5;1600.00;858;Partenaire;5333.33;217;Mailing
ID_000228875383;52;M;Marié;Locataire;2133.33;1;0;4;9333;1;1605;154.20;1;2000.00;1941;Partenaire;2000.00;278;Partenaire
ID_000232113215;39;M;Divorcé;Propriétaire;2266.67;1;0;4;10533;1;3472;4345.25;1;800.00;1267;Partenaire;5333.33;718;Agence
ID_000232113887;42;F;Marié;;;1;0;6;16667;2;6044;528.40;2;666.67;7146;Partenaire;1333.33;490;Mailing
ID_000238865351;34;M;Célibataire;Locataire;1700.00;1;1;2;1333;2;1429;23.33;3;666.67;231;Agence;666.67;39;Partenaire
ID_000241001132;31;F;Marié;Propriétaire;1533.33;1;0;6;8000;1;870;341.35;0;1866.67;3988;Partenaire;933.33;137;Partenaire
ID_000241534990;51;F;Célibataire;;;1;0;8;12000;3;4973;124.27;2;2666.67;2365;Partenaire;1333.33;7;Mailing
ID_000243357343;51;F;Célibataire;Locataire;1466.67;1;0;4;4786;3;3029;183.73;2;1333.33;4298;Partenaire;1086.40;144;Partenaire
ID_000243852395;33;F;Célibataire;;;1;0;3;5867;3;4542;179.47;2;3200.00;1019;Partenaire;1333.33;353;Mailing
ID_000251120429;44;M;Célibataire;;;1;0;10;16933;2;6641;3134.94;3;800.00;4280;Partenaire;1333.33;60;Mailing
ID_000256846669;47;M;Célibataire;;;1;0;17;30667;4;5401;247.90;3;533.33;6467;Partenaire;1333.33;48;Mailing
ID_000275472679;52;M;;;3466.67;1;0;3;12667;2;4189;396.83;1;5333.33;4211;Agence;4000.00;259;Agence
ID_000283100672;49;M;Célibataire;Locataire;2184.27;1;0;8;13933;4;4951;402.92;2;2000.00;3784;Partenaire;3333.33;161;Agence
ID_000286603940;57;M;Célibataire;;;1;0;3;7333;1;147;112.43;0;2666.67;3804;Partenaire;2000.00;2162;Mailing
ID_000307974231;39;M;Célibataire;Locataire;1893.33;1;0;13;10544;1;324;2172.19;1;933.33;3923;Partenaire;533.33;440;Partenaire
ID_000310065612;46;F;Célibataire;;;1;0;2;3391;2;2387;115.07;1;2057.73;676;Partenaire;1333.33;340;Mailing
ID_000322063708;49;F;Célibataire;;;1;0;5;4933;4;3968;116.94;3;533.33;4039;Partenaire;1333.33;52;Mailing
ID_000323221152;30;M;Célibataire;Locataire;1288.00;1;0;3;5907;2;2778;159.63;1;2533.33;3296;Partenaire;2000.00;126;Partenaire
ID_000327177086;40;M;Célibataire;;;1;0;6;8667;5;5881;729.13;5;1333.33;1272;Partenaire;1333.33;67;Mailing
ID_000349248309;42;F;Célibataire;;;1;0;4;4667;3;2733;111.20;3;1333.33;4088;Partenaire;1333.33;168;Mailing
ID_000376331983;48;F;Célibataire;;;1;0;9;13751;3;4130;144.45;5;294.71;;Partenaire;1333.33;55;Mailing
ID_000387796231;44;F;Divorcé;Locataire;2000.00;1;0;1;2066;1;1664;82.27;2;2066.00;447;Partenaire;2066.00;447;Partenaire
ID_000390610705;30;F;Divorcé;Locataire;1693.33;1;0;1;5333;1;5492;294.21;1;5333.33;152;Partenaire;5333.33;152;Partenaire
ID_000394382867;45;M;Célibataire;;;1;0;4;7333;2;3724;64.13;3;1333.33;2848;Partenaire;2000.00;48;Mailing
ID_000396975560;50;M;Marié;Locataire;1466.67;1;0;3;2467;2;1682;97.71;2;600.00;701;Partenaire;1333.20;264;Partenaire
ID_000423871791;48;F;Célibataire;;;1;0;10;13200;2;3933;157.87;5;666.67;5092;Partenaire;2000.00;112;Mailing
ID_000428032653;45;F;Célibataire;;;1;0;2;2400;2;2294;71.02;4;1066.67;627;Mailing;1333.33;117;Mailing
ID_000439101781;56;M;Marié;;;1;0;10;21346;4;6972;204.40;3;866.67;;Partenaire;4000.00;56;Mailing
ID_000444708311;42;F;Célibataire;;;1;0;4;7205;1;2931;280.00;1;493.33;6733;Partenaire;4666.67;745;Agence
ID_000451846558;43;F;Marié;Locataire;1600.00;1;0;5;7333;2;3293;80.67;2;1333.33;1908;Partenaire;2000.00;101;Agence
ID_000454691461;41;M;Célibataire;;;1;0;5;12267;2;5125;308.40;2;1333.33;3335;Partenaire;3333.33;346;Mailing
ID_000455182232;25;F;Célibataire;Locataire;1866.67;0;0;1;4000;1;4365;106.67;5;4000.00;112;Partenaire;4000.00;112;Partenaire
ID_000455225205;40;M;Union libre;Propriétaire;3200.00;1;0;3;33353;2;5559;12585.76;6;28019.87;2435;Partenaire;3066.67;82;Partenaire
ID_000480231658;55;F;Célibataire;;;1;0;11;23467;2;2755;621.73;0;800.00;6695;Partenaire;1333.33;336;Mailing
ID_000483873054;47;M;Célibataire;;;1;0;9;14772;4;5713;267.98;3;905.33;3740;Partenaire;3200.00;339;Mailing
ID_000513209536;29;F;Célibataire;;1353.33;1;0;3;8274;1;5829;1594.14;5;319.06;;Partenaire;5333.33;118;Agence
ID_000516601433;36;M;Célibataire;;;1;0;3;3577;2;2232;127.60;3;643.60;1402;Partenaire;1333.33;300;Mailing
ID_000531053616;43;F;Marié;;;1;0;5;6267;1;1397;57.57;1;933.33;3741;Partenaire;1333.33;42;Mailing
ID_000538490254;45;F;Célibataire;;;1;0;4;5360;3;4120;117.83;4;1066.67;1354;Agence;1333.33;52;Mailing
ID_000539920850;56;F;Marié;Locataire;1133.33;1;0;1;1200;1;1127;65.60;0;1200.00;278;Partenaire;1200.00;278;Partenaire
ID_000546956139;56;M;Célibataire;Propriétaire;1829.20;1;0;3;7467;2;3912;173.55;3;2133.33;2302;Partenaire;3333.33;577;Agence
ID_000547755443;33;M;;Propriétaire;2133.33;1;0;4;9733;1;5229;861.07;0;666.67;1340;Partenaire;5333.33;234;Partenaire
ID_000557631878;55;M;Marié;;;1;0;5;9200;1;1442;51.73;3;2000.00;7052;Partenaire;1866.67;909;Mailing
ID_000583053874;45;M;Célibataire;;;1;0;5;10067;3;5118;198.64;5;1133.33;7114;Partenaire;3200.00;537;Mailing
ID_000588008441;44;M;Célibataire;;;1;0;3;6667;2;4560;115.93;3;2000.00;1783;Partenaire;1333.33;55;Mailing
ID_000600142134;41;F;Célibataire;Locataire;840.00;1;0;1;5333;1;5346;127.47;5;5333.33;333;Agence;5333.33;333;Agence
ID_000603501350;55;F;Célibataire;Propriétaire;1533.33;1;0;3;5333;1;1440;126.13;2;2000.00;1886;Partenaire;1333.33;41;Partenaire
ID_000610548407;37;M;Célibataire;Propriétaire;1666.67;1;0;4;5600;1;1252;118.45;5;400.00;4734;Partenaire;3066.67;493;Mailing
ID_000623239367;43;F;Marié;Locataire;1400.00;1;0;3;11333;1;1890;522.26;0;3333.33;1922;Partenaire;4000.00;395;Agence
ID_000623938540;58;M;Célibataire;;;1;0;5;7515;2;3047;230.53;4;2515.49;2316;Partenaire;666.67;20;Mailing
ID_000631040026;42;M;Célibataire;;;1;0;3;5909;2;3479;116.03;5;2376.52;2309;Partenaire;1333.33;161;Mailing
ID_000631111190;47;F;Célibataire;;;1;0;6;6000;2;855;286.98;0;666.67;5087;Partenaire;666.67;353;Mailing
ID_000642129947;51;F;Célibataire;;;1;0;5;11040;3;5729;2970.95;3;1306.67;1545;Partenaire;2000.00;55;Mailing
ID_000654461379;43;F;Célibataire;;;1;0;4;3600;2;1677;123.20;0;933.33;2639;Partenaire;1333.33;341;Mailing
ID_000670552265;26;F;Union libre;Locataire;2133.33;1;0;2;1067;1;135;507.87;0;400.00;642;Partenaire;666.67;374;Partenaire
ID_000674552871;45;F;Célibataire;;;1;0;2;5333;2;5450;0.00;4;4000.00;234;Partenaire;1333.33;55;Mailing
ID_000688211637;25;M;Célibataire;Locataire;1666.67;1;0;3;5153;2;4298;72.89;6;886.67;1413;Partenaire;3333.33;70;Agence
ID_000691915951;49;F;Célibataire;;;1;0;4;9637;1;1577;75.60;2;2304.00;;Partenaire;2666.67;12;Mailing
ID_000703450691;49;M;Marié;Locataire;1026.67;1;0;4;10026;1;1586;3913.01;1;3333.33;1407;Partenaire;2026.40;633;Partenaire
ID_000705671592;44;F;Célibataire;;;1;0;7;11627;2;6593;265.20;5;1333.33;1441;Partenaire;1466.67;55;Mailing
ID_000721786786;47;M;Célibataire;;;1;0;11;18657;6;6437;318.52;5;2066.67;;Partenaire;3333.33;31;Mailing
ID_000724746280;49;F;Divorcé;Locataire;1600.00;1;0;9;13693;4;5215;245.83;3;1866.67;7130;Partenaire;2933.33;48;Agence
ID_000741553903;59;M;Célibataire;Locataire;800.00;1;0;7;12586;4;2702;547.87;1;2053.07;1672;Partenaire;1333.33;267;Agence
ID_000745564525;53;F;Union libre;Locataire;986.67;1;0;9;9467;1;4366;74.77;1;533.33;3506;Partenaire;4000.00;66;Agence
ID_000746163095;45;F;Célibataire;;;1;0;7;12400;5;6546;217.20;3;1866.67;2363;Partenaire;1333.33;49;Mailing
ID_000747509334;42;F;Célibataire;;;1;0;3;6667;3;2718;221.87;2;4000.00;1471;Partenaire;1333.33;353;Mailing
ID_000754181643;29;M;Union libre;Propriétaire;1800.00;1;0;4;16800;1;5373;10746.67;6;800.00;2553;Partenaire;5333.33;171;Partenaire
ID_000770485252;50;M;Marié;Locataire;1106.67;1;0;7;10400;1;1127;284.33;0;400.00;3846;Partenaire;2666.67;565;Partenaire
ID_000773939837;57;M;Célibataire;Propriétaire;2176.13;1;0;7;9800;1;1740;319.89;2;1800.00;2429;Partenaire;1600.00;56;Agence
ID_000774463524;29;M;Célibataire;;;1;0;4;5345;2;3010;141.69;3;1411.87;;Agence;1333.33;167;Mailing
ID_000792695819;53;F;Divorcé;Locataire;1533.33;1;0;3;2800;1;1215;1080.16;2;266.67;1096;Partenaire;933.33;327;Mailing
ID_000810983339;40;F;Célibataire;;;1;0;6;9667;4;5451;244.32;2;2666.67;1767;Partenaire;1333.33;42;Mailing
ID_000825222348;36;M;Marié;;;1;0;7;10056;2;5323;1022.97;1;933.33;4286;Partenaire;2666.67;59;Mailing
ID_000838166155;52;M;Union libre;Locataire;1400.93;1;0;6;21233;1;3268;4063.47;2;1333.33;2839;Partenaire;4000.00;406;Agence
ID_000867864646;52;F;Célibataire;;;0;0;8;19067;2;2728;2904.88;1;533.33;5892;Partenaire;1333.33;496;Mailing
ID_000876861254;55;F;Célibataire;;;1;0;7;9333;3;3942;4010.16;3;1333.33;2273;Partenaire;1333.33;55;Mailing
ID_000878143999;44;F;Célibataire;Locataire;1600.00;1;0;2;2746;1;825;62.93;1;2000.00;1577;Partenaire;746.40;299;Partenaire
ID_000895516371;37;M;Célibataire;;;1;0;6;5636;2;3017;155.89;2;23.64;;Partenaire;1333.33;334;Mailing
ID_000899933200;52;M;Célibataire;Locataire;2000.00;1;0;4;4122;2;1485;107.20;4;1216.00;663;Partenaire;1239.07;11;Partenaire
ID_000901632252;31;M;Célibataire;;;1;0;8;10800;5;6474;245.87;3;666.67;3309;Partenaire;1333.33;49;Mailing
ID_000939305429;52;F;Célibataire;;;1;0;3;5667;2;3147;165.07;4;2000.00;2532;Partenaire;1333.33;536;Mailing
ID_000947052206;55;M;Célibataire;Locataire;1573.33;1;0;5;5686;3;3217;223.42;2;606.93;1488;Partenaire;1333.33;348;Mailing
ID_000971259750;41;F;Célibataire;;;1;0;6;5235;3;2117;112.13;4;621.87;1743;Partenaire;666.67;131;Mailing
ID_000978486483;40;F;Union libre;Locataire;1733.33;1;0;7;12240;3;4262;970.69;3;1333.33;4034;Partenaire;1466.67;598;Partenaire
ID_000979652950;46;F;Marié;Locataire;1466.67;1;0;4;6533;1;3138;450.93;1;666.67;3110;Partenaire;3200.00;268;Partenaire
ID_000983626607;42;M;Célibataire;;;1;0;5;6667;2;4427;130.89;5;666.67;1795;Partenaire;3333.33;49;Mailing
ID_000989613714;51;M;Union libre;Propriétaire;1866.67;1;0;6;6200;2;2212;63.27;2;866.67;4513;Partenaire;1066.67;60;Partenaire
ID_000991487157;41;M;Célibataire;;;1;0;6;6333;1;1217;133.87;2;866.67;2348;Partenaire;1600.00;494;Mailing
ID_000992098767;43;F;Célibataire;Locataire;1933.33;1;0;6;15348;1;1633;5456.56;2;1680.00;4030;Partenaire;1066.67;20;Agence
ID_001020975436;56;F;Célibataire;;;1;0;3;6864;2;3313;380.04;0;997.60;1480;Partenaire;1333.33;150;Mailing
ID_001031729258;37;M;Célibataire;;;1;0;9;14946;4;3402;304.23;2;1333.33;7004;Partenaire;1333.33;13;Mailing
ID_001033536948;49;M;Marié;Locataire;1600.00;1;0;2;6222;1;2399;32.48;2;4000.00;628;Partenaire;2221.73;300;Partenaire
ID_001041486823;55;M;Célibataire;;;1;0;3;5186;1;3443;741.86;4;519.60;1122;Partenaire;3333.33;122;Mailing
ID_001041758131;51;F;Célibataire;;;1;0;4;5333;2;1679;182.49;0;1333.33;2350;Partenaire;1333.33;53;Mailing
ID_001052465365;53;M;Marié;Propriétaire;2000.00;1;0;9;11685;1;5426;294.93;5;573.33;4051;Partenaire;5333.33;318;Agence
ID_001053838387;45;M;Divorcé;Locataire;1892.67;1;0;2;8000;1;5990;9.42;2;2666.67;3332;Partenaire;5333.33;133;Agence
ID_001061586673;50;M;Célibataire;;;1;0;3;5890;2;3029;152.62;3;1357.07;1932;Partenaire;2666.67;714;Mailing
ID_001067536585;56;M;Célibataire;;;1;0;14;25200;2;2639;255.62;2;1600.00;7256;Partenaire;2400.00;756;Partenaire
ID_001083693359;35;F;Célibataire;Locataire;1866.67;1;0;2;2682;2;2738;53.60;4;1322.13;368;Partenaire;1359.60;95;Partenaire
ID_001084470952;43;F;Divorcé;Locataire;2041.20;1;0;2;5933;1;4194;331.65;4;2133.33;1732;Agence;3800.00;90;Agence
ID_001087224164;57;F;Marié;Propriétaire;1666.67;1;0;8;9381;1;533;1755.47;1;400.00;7108;Partenaire;466.53;363;Partenaire
ID_001089719359;48;M;Célibataire;;;1;0;5;5600;2;3323;93.40;5;533.33;3577;Partenaire;2666.67;49;Mailing
ID_001094878485;54;M;Marié;Propriétaire;2640.00;1;0;6;12867;2;3913;126.05;5;1733.33;6670;Partenaire;2666.67;289;Partenaire
ID_001097244454;44;M;Célibataire;;;1;0;4;7333;2;3450;4080.00;3;2000.00;636;Partenaire;1333.33;55;Mailing
ID_001104959538;48;M;Célibataire;;;1;0;3;11600;1;3703;348.27;2;5333.33;1621;Agence;5200.00;704;Mailing
ID_001105890417;43;M;Célibataire;Propriétaire;1554.93;1;0;1;2000;1;2037;53.47;5;2000.00;340;Partenaire;2000.00;340;Partenaire
ID_001107094749;45;F;Célibataire;;;1;0;3;6267;2;5014;165.73;5;1200.00;1570;Partenaire;2000.00;168;Mailing
ID_001109738896;53;F;Divorcé;Locataire;1733.33;1;0;6;6273;1;1458;35.83;5;666.67;4970;Partenaire;1333.33;68;Partenaire
ID_001113853602;43;F;Célibataire;;;1;0;3;6667;2;4081;144.17;3;2666.67;1302;Partenaire;1333.33;55;Mailing
ID_001115756971;47;F;Célibataire;;;1;0;7;7612;2;1458;273.78;1;1333.33;2691;Partenaire;1333.33;341;Mailing
ID_001120588325;35;M;Célibataire;Propriétaire;2266.67;1;0;4;3067;2;1490;36.67;4;400.00;4561;Partenaire;1333.33;81;Partenaire
ID_001122510582;39;F;Célibataire;Locataire;1600.00;1;0;2;6000;0;0;0.00;1;2666.67;77;Partenaire;3333.33;19;Partenaire
ID_001129945832;53;F;Union libre;Propriétaire;2000.00;1;0;18;20200;2;6211;325.94;5;333.33;7137;Partenaire;2000.00;315;Mailing
ID_001134053524;49;M;Divorcé;Locataire;1466.67;1;0;7;9467;2;2684;201.33;2;933.33;4084;Partenaire;2666.67;385;Agence
ID_001140709538;57;M;Célibataire;;;1;0;6;9067;2;4118;93.08;5;2000.00;4522;Partenaire;2666.67;48;Mailing
ID_001152962913;56;M;Divorcé;Locataire;2666.67;1;0;11;50688;1;4329;3580.16;0;12421.73;;Partenaire;5333.33;220;Agence
ID_001155221671;48;M;Célibataire;;;1;0;10;21867;3;5163;461.69;1;800.00;5418;Partenaire;1333.33;126;Mailing
ID_001166936187;33;F;Célibataire;Locataire;1533.33;1;1;2;7333;1;5442;2349.65;5;2000.00;236;Partenaire;5333.33;116;Mailing
ID_001173233462;42;F;Union libre;Locataire;2000.00;1;0;12;15561;2;4044;153.71;5;666.67;3843;Partenaire;2666.67;264;Agence
ID_001177215894;49;M;Marié;;;1;0;10;7200;1;1369;154.00;0;666.67;3421;Partenaire;1333.33;340;Mailing
ID_001191236579;25;F;Célibataire;Locataire;1448.40;0;1;1;2667;1;2728;143.60;1;2666.67;143;Agence;2666.67;143;Agence
ID_001191415789;42;M;Célibataire;;;1;0;6;10067;4;6732;310.94;3;1333.33;1663;Agence;1333.33;145;Mailing
ID_001201112878;49;F;Marié;;;1;0;7;18667;2;5389;58.44;5;533.33;5543;Partenaire;4000.00;53;Mailing
ID_001209689846;47;F;Célibataire;;;1;0;5;5467;2;1899;142.90;1;800.00;3406;Partenaire;800.00;342;Mailing
ID_001217066260;30;F;Célibataire;;;1;0;6;12667;2;4775;497.13;1;1333.33;3191;Partenaire;3333.33;61;Mailing
ID_001217151212;51;M;Marié;;;1;0;4;10400;1;2775;113.04;4;933.33;4080;Partenaire;3333.33;885;Agence
ID_001259227950;52;F;Marié;Propriétaire;1613.33;1;0;5;3493;2;2693;19.73;6;200.00;6642;Partenaire;1866.67;40;Partenaire
ID_001266337089;51;F;Marié;;;1;0;2;6667;1;1521;67.47;2;2666.67;1435;Mailing;4000.00;13;Mailing
ID_001271521081;36;F;Marié;;;1;0;3;4893;1;1069;60.90;4;626.67;1520;Partenaire;3066.67;17;Mailing
ID_001288669601;37;M;Célibataire;Propriétaire;2066.67;1;0;6;7600;4;4487;300.63;5;800.00;1218;Partenaire;1066.67;255;Agence
ID_001306580806;48;F;Célibataire;;;1;0;3;4667;3;3579;133.61;5;1333.33;1000;Partenaire;2000.00;125;Mailing
ID_001311428427;53;M;Marié;Propriétaire;2040.00;1;0;11;20400;1;5552;6594.52;5;266.67;6838;Partenaire;5333.33;293;Partenaire
ID_001318278939;41;F;Divorcé;Propriétaire;2200.00;1;0;3;4400;1;2917;1078.00;4;666.67;2054;Partenaire;2666.67;123;Agence
ID_001319441590;53;M;Marié;;;1;0;6;12133;5;7967;228.93;5;3333.33;1432;Partenaire;1333.33;66;Mailing
ID_001344355344;51;F;Célibataire;;;1;0;8;11267;2;3850;241.40;2;800.00;2468;Partenaire;1333.33;13;Mailing
ID_001350607514;50;F;Célibataire;;;1;0;6;10267;1;5831;4120.23;6;1333.33;350;Agence;666.67;20;Mailing
ID_001353596322;45;F;Célibataire;;;1;0;8;10267;6;5189;222.79;5;2000.00;1621;Agence;1333.33;150;Mailing
ID_001356162213;46;F;Divorcé;Locataire;3066.67;1;0;29;34667;3;5804;6231.72;3;666.67;6724;Partenaire;1333.33;52;Mailing
ID_001361167217;54;F;Célibataire;;;1;0;5;9867;1;3441;1051.04;2;533.33;4889;Partenaire;3333.33;144;Mailing
ID_001370063858;52;F;Célibataire;;;1;0;7;11467;1;1962;2671.07;1;533.33;4524;Partenaire;3333.33;760;Mailing
ID_001389168220;41;M;Marié;Locataire;2133.33;1;0;1;3767;1;3102;133.33;2;3766.67;472;Partenaire;3766.67;472;Partenaire
ID_001391708597;47;M;Marié;Locataire;873.33;1;0;4;10667;1;4428;92.71;2;1333.33;1173;Partenaire;4000.00;97;Partenaire
ID_001401320129;55;M;Marié;Propriétaire;1733.33;1;0;10;12373;3;4064;144.86;6;306.67;7256;Partenaire;2000.00;66;Partenaire
ID_001401917973;34;F;Célibataire;;;1;0;5;6154;1;1918;100.49;0;554.29;;Partenaire;2000.00;353;Mailing
ID_001408301112;46;F;Célibataire;;;1;0;3;10667;1;4829;285.60;4;1333.33;2145;Partenaire;5333.33;622;Agence
ID_001416273104;50;F;Célibataire;;;0;0;5;11400;2;4427;302.46;5;1333.33;4175;Partenaire;1333.33;168;Mailing
ID_001419515828;31;F;Célibataire;;;1;0;7;10133;3;6542;145.20;6;666.67;3703;Partenaire;1333.33;39;Mailing
ID_001430125504;50;M;Union libre;Propriétaire;2400.00;1;0;4;8213;2;4086;286.53;2;613.33;2350;Partenaire;2400.00;402;Agence
ID_001434879012;35;F;Célibataire;;;1;0;8;9533;4;4649;144.29;4;666.67;2876;Partenaire;1333.33;56;Mailing
ID_001435018756;43;M;Célibataire;;;1;0;5;11200;2;4957;265.40;4;1600.00;2310;Partenaire;2000.00;138;Mailing
ID_001448957006;42;M;Marié;Locataire;2800.00;1;0;6;5859;2;1575;396.33;1;525.20;;Partenaire;1333.33;24;Partenaire
ID_001450026760;50;F;Divorcé;Locataire;1733.33;1;0;5;11066;1;5258;219.45;5;799.33;7208;Partenaire;5333.33;424;Partenaire
ID_001454111519;32;M;Célibataire;Propriétaire;2666.67;1;0;3;3681;0;0;0.00;;1414.03;;Partenaire;1333.33;18;Agence
