id_client;flag_credit;age;sexe;situation_familiale;statut_logement;revenu;flag_tel;flag_email;nb_credits_total;mt_credits_total;nb_credits_actuel;mt_credits_actuel;mt_echeances_actuel;duree_remboursement_actuel;mt_premier_credit;anc_premier_credit;canal_premier_credit;mt_dernier_credit;anc_dernier_credit;canal_dernier_credit
ID_000049415207;0;38;F;Marié;Locataire;1066.67;1;0;2;6667;1;3125;133.07;2;3333.33;1185;Partenaire;3333.33;299;Partenaire
ID_000050015646;0;31;F;;;;1;0;3;11673;1;1039;266.77;1;9539.33;;Partenaire;1333.33;468;Partenaire
ID_000051025012;0;32;F;Union libre;Locataire;1373.33;1;0;4;4000;2;1456;90.93;3;800.00;3780;Partenaire;1066.67;532;Agence
ID_000054706228;0;25;M;Marié;Locataire;1466.67;1;0;1;667;1;333;73.33;0;666.67;287;Agence;666.67;287;Agence
ID_000057586824;0;37;M;Marié;Locataire;2666.67;1;0;5;22667;1;5377;17493.33;1;5333.33;672;Partenaire;5333.33;192;Partenaire
ID_000060646227;0;55;M;Célibataire;;;1;0;3;9951;2;3317;221.07;3;3284.27;1262;Partenaire;2666.67;455;Mailing
ID_000067963472;0;37;F;Célibataire;;;1;0;2;4667;1;3397;127.34;2;1333.33;1638;Partenaire;3333.33;116;Mailing
ID_000069413319;0;56;M;Marié;;;1;0;16;22533;1;2587;266.93;2;1333.33;7259;Partenaire;3333.33;663;Agence
ID_000070339550;0;52;F;Marié;;;1;0;2;8667;1;1742;186.80;0;2000.00;2825;Partenaire;6666.67;1571;Mailing
ID_000071415256;0;30;M;Union libre;Locataire;2133.33;1;0;4;5133;1;2481;537.11;6;933.33;1850;Partenaire;2266.67;397;Agence
ID_000072251003;0;50;M;Célibataire;;;1;0;5;8171;2;3303;177.82;3;2304.00;;Partenaire;1600.00;650;Mailing
ID_000072402007;1;36;F;Marié;Propriétaire;1666.67;1;0;5;6800;1;1991;130.80;1;800.00;3553;Partenaire;1333.33;13;Agence
ID_000073821306;1;29;M;;Propriétaire;1733.33;0;0;1;2000;1;2025;129.20;1;2000.00;154;Partenaire;2000.00;154;Partenaire
ID_000079345974;0;44;M;Célibataire;Locataire;1466.67;1;0;6;12267;3;3568;294.27;1;2000.00;2814;Partenaire;1333.33;315;Partenaire
ID_000080588639;0;39;M;Célibataire;;1443.73;1;0;4;6667;3;3950;257.73;2;266.67;6025;Partenaire;1733.33;299;Agence
ID_000090631618;1;42;F;Célibataire;;;1;0;6;13333;4;6187;214.40;6;4000.00;2049;Partenaire;1333.33;96;Mailing
ID_000091298073;1;27;F;Célibataire;;;1;1;1;5333;1;5988;132.00;0;5333.33;174;Agence;5333.33;174;Agence
ID_000093101889;0;32;M;Célibataire;Locataire;3333.33;1;0;4;4501;1;2408;154.15;3;501.20;1491;Partenaire;2666.67;392;Mailing
ID_000095518451;0;26;F;Célibataire;;1566.67;1;0;3;4006;2;2936;1525.08;5;1339.47;532;Partenaire;1333.33;126;Partenaire
ID_000096575471;0;58;F;Célibataire;;;1;0;17;19067;2;6330;221.07;3;400.00;5595;Partenaire;3333.33;112;Mailing
ID_000097587700;0;34;M;Marié;;;1;0;3;4600;1;1225;52.40;2;1066.67;2982;Partenaire;1866.67;1062;Agence
ID_000099782649;0;33;M;Marié;Locataire;1733.33;1;0;6;14275;1;425;93.60;0;533.33;4494;Partenaire;942.00;427;Partenaire
ID_000103526133;0;39;F;Marié;;;1;0;5;6148;3;2325;126.67;1;800.00;6321;Partenaire;1333.33;280;Mailing
ID_000105128903;0;32;F;Célibataire;Locataire;1360.00;1;0;1;667;1;520;26.40;1;666.67;469;Partenaire;666.67;469;Partenaire
ID_000105546848;1;42;F;Célibataire;;;1;0;12;21659;4;5849;452.53;3;1200.00;4569;Partenaire;1333.33;66;Mailing
ID_000106072736;1;57;F;Célibataire;;;1;0;22;23733;4;5598;255.20;3;1466.67;7479;Partenaire;1866.67;286;Mailing
ID_000106815679;1;46;F;Union libre;Locataire;1866.67;1;0;4;9800;2;4242;95.67;3;466.67;;Partenaire;3333.33;42;Partenaire
ID_000112856135;0;57;F;Célibataire;;;1;0;7;8533;3;3360;133.33;3;666.67;4332;Partenaire;666.67;280;Mailing
ID_000112986027;0;54;F;Célibataire;;;1;1;2;4000;1;2742;144.53;1;2666.67;145;Agence;1333.33;4;Mailing
ID_000113847317;0;47;M;Célibataire;;;1;0;4;6267;2;1991;189.86;0;2266.67;2986;Partenaire;1333.33;280;Mailing
ID_000119409714;0;22;M;Célibataire;;1794.80;1;0;1;1413;1;1179;55.60;2;1413.33;473;Partenaire;1413.33;473;Partenaire
ID_000120511882;0;36;M;Célibataire;Locataire;1692.93;1;0;2;1067;1;222;55.13;0;400.00;1638;Partenaire;666.67;999;Mailing
ID_000120598711;0;39;F;Célibataire;;;1;0;2;1533;1;38;18.00;0;999.86;;Partenaire;533.33;1477;Partenaire
ID_000120901568;1;51;F;Célibataire;Locataire;1653.33;1;0;5;8533;2;3266;159.87;4;1333.33;2209;Partenaire;800.00;132;Agence
ID_000122799743;0;49;F;Célibataire;;;1;0;1;1066;1;224;37.33;0;1066.00;997;Partenaire;1066.00;997;Partenaire
ID_000134300721;0;42;F;;;;1;0;3;1578;1;763;36.35;2;412.67;2280;Partenaire;933.33;553;Agence
ID_000134381716;0;58;M;Célibataire;;;1;0;4;7164;2;2985;111.02;3;1733.33;3637;Partenaire;1333.33;105;Mailing
ID_000135588589;0;29;M;Célibataire;Propriétaire;1733.33;1;0;3;8933;2;4594;310.40;4;4000.00;2062;Partenaire;1600.00;108;Partenaire
ID_000135760580;0;40;F;Célibataire;;;1;0;5;14267;1;5070;282.50;4;2266.67;2660;Partenaire;5333.33;522;Agence
ID_000141028626;0;55;M;Célibataire;;;1;0;2;8267;1;2991;4190.00;3;5333.33;1171;Agence;2933.33;290;Mailing
ID_000146394961;0;43;F;Célibataire;;;1;0;5;16861;1;322;199.88;0;1333.33;4690;Partenaire;2194.67;1203;Agence
ID_000148144717;1;44;M;Marié;Locataire;2666.67;1;0;3;10442;2;5387;6.03;2;5333.33;418;Partenaire;2133.33;173;Partenaire
ID_000148907296;0;44;F;Célibataire;;;1;0;5;9299;1;3126;106.11;5;1299.33;6823;Partenaire;3333.33;439;Mailing
ID_000150954562;0;53;M;Célibataire;;;1;0;8;4933;1;43;104.67;0;533.33;5043;Partenaire;666.67;810;Mailing
ID_000152892642;0;37;M;Marié;Propriétaire;2133.33;1;0;2;2133;1;1296;72.39;3;666.67;1197;Partenaire;1466.67;503;Partenaire
ID_000154820483;0;33;M;Célibataire;Locataire;1720.00;1;0;5;11895;1;5715;143.60;5;2361.60;;Partenaire;5333.33;174;Agence
ID_000158984473;0;43;F;Divorcé;Propriétaire;1653.33;1;0;4;14800;1;6292;4816.26;5;2000.00;1349;Partenaire;6133.33;75;Mailing
ID_000176327714;0;42;F;Marié;Propriétaire;1800.00;1;0;4;5465;3;4511;100.93;5;1065.33;2544;Partenaire;800.00;230;Partenaire
ID_000179111602;0;59;M;Célibataire;;;1;0;12;6533;1;212;37.73;0;533.33;7187;Partenaire;1333.33;1991;Partenaire
ID_000181483389;0;45;F;;;;1;0;1;1440;1;1031;49.60;2;1439.87;702;Partenaire;1439.87;702;Partenaire
ID_000189326960;0;37;M;Union libre;Locataire;1586.00;1;0;1;800;1;561;43.47;1;800.00;386;Partenaire;800.00;386;Partenaire
ID_000196135110;0;41;M;Marié;Locataire;3066.67;1;0;9;10834;2;5052;62.53;6;1440.00;;Partenaire;2266.67;33;Partenaire
ID_000198352037;0;34;F;Célibataire;;;1;0;2;5466;2;4081;147.33;4;1332.67;1193;Partenaire;4133.33;810;Agence
ID_000198388361;0;38;M;Célibataire;;;1;0;1;2000;1;250;79.73;0;2000.00;1087;Partenaire;2000.00;1087;Partenaire
ID_000198574154;0;40;F;Célibataire;;;1;0;8;9867;2;5211;255.43;5;400.00;3065;Partenaire;666.67;264;Mailing
ID_000198719170;0;55;M;Célibataire;Locataire;1318.00;1;0;2;2000;2;1332;50.40;5;1333.33;1972;Partenaire;666.67;479;Partenaire
ID_000198771622;1;43;M;Célibataire;;;1;0;8;11733;6;5390;220.27;5;3333.33;2254;Partenaire;1333.33;104;Mailing
ID_000199122199;0;48;M;Célibataire;;;1;0;2;10000;1;4450;4860.27;3;4666.67;713;Agence;5333.33;523;Mailing
ID_000200287421;0;48;M;Célibataire;;;1;0;2;1707;1;497;70.86;3;1040.80;1608;Partenaire;666.67;1195;Partenaire
ID_000200339490;0;50;F;Marié;;;1;0;6;3467;1;273;26.93;0;266.67;6829;Partenaire;1066.67;2002;Partenaire
ID_000205132351;0;20;M;Union libre;Locataire;1600.00;0;0;4;2400;4;1998;133.60;1;400.00;774;Partenaire;666.67;137;Agence
ID_000209290971;0;48;M;Marié;Propriétaire;1866.67;1;0;5;7560;1;216;1226.40;0;400.00;5494;Partenaire;2559.73;387;Partenaire
ID_000209529025;0;49;F;Célibataire;;;1;0;4;3733;3;3018;59.87;5;400.00;3549;Partenaire;1333.33;67;Mailing
ID_000217650666;0;32;F;Union libre;Propriétaire;1466.67;1;0;9;5267;1;815;24.93;0;533.33;4303;Partenaire;800.00;266;Partenaire
ID_000221174351;0;29;F;Union libre;Locataire;1666.67;1;0;2;2400;1;1776;10.38;2;800.00;854;Partenaire;1600.00;95;Agence
ID_000221702028;0;26;F;Marié;;;1;0;3;8133;1;828;1036.28;2;800.00;1095;Partenaire;3333.33;730;Partenaire
ID_000222759977;0;47;F;Célibataire;;;1;0;7;10133;3;2633;168.00;3;933.33;4939;Partenaire;2000.00;999;Mailing
ID_000227951393;1;28;F;Marié;Locataire;1000.00;1;0;1;800;1;744;31.60;2;800.00;281;Partenaire;800.00;281;Partenaire
ID_000228445465;0;48;M;;;;1;0;5;14027;1;3773;253.74;2;533.33;3912;Partenaire;5333.33;803;Agence
ID_000229210288;0;54;F;Célibataire;;;1;0;9;14133;4;3911;283.96;3;1066.67;6180;Partenaire;1333.33;290;Mailing
ID_000229980622;0;56;M;Marié;Propriétaire;2800.00;1;0;12;21173;1;1152;4568.14;6;4666.67;6766;Partenaire;1066.67;34;Partenaire
ID_000232429705;0;50;F;Célibataire;;;1;0;5;7198;1;38;75.87;0;266.67;6198;Partenaire;3333.33;283;Mailing
ID_000233002920;0;38;M;Célibataire;;;1;0;1;1667;1;1389;52.67;2;1666.67;546;Partenaire;1666.67;546;Partenaire
ID_000235675251;1;53;F;Marié;;;1;0;3;3867;1;953;36.00;2;800.00;4672;Partenaire;2000.00;1413;Partenaire
ID_000241734194;0;45;F;Célibataire;;;0;0;3;4267;2;2812;107.33;5;1200.00;1052;Agence;1333.33;101;Mailing
ID_000251955662;0;58;F;Union libre;Propriétaire;1976.27;1;0;5;8267;4;4641;194.43;4;1333.33;2812;Partenaire;1333.33;262;Mailing
ID_000253849453;0;29;M;Célibataire;;;1;0;1;800;1;410;31.73;1;800.00;740;Partenaire;800.00;740;Partenaire
ID_000256873595;0;49;M;Célibataire;;;1;0;1;800;1;332;31.60;0;800.00;828;Partenaire;800.00;828;Partenaire
ID_000262045056;1;29;M;Célibataire;;;1;0;5;5600;3;2394;68.67;2;1466.67;3513;Partenaire;1333.33;81;Mailing
ID_000263766563;0;56;M;Marié;Locataire;1866.67;1;0;4;3361;1;2041;51.99;5;266.67;6037;Partenaire;2000.00;237;Partenaire
ID_000266606808;0;36;M;Célibataire;;;1;0;2;6093;1;4396;160.49;3;759.87;1059;Partenaire;5333.33;571;Mailing
ID_000270930529;0;41;F;Marié;Propriétaire;1600.00;1;0;5;15867;1;4352;3256.20;3;4666.67;1908;Partenaire;4400.00;294;Agence
ID_000272140449;0;36;M;Célibataire;;;1;0;1;1600;1;1328;51.60;2;1600.00;558;Partenaire;1600.00;558;Partenaire
ID_000279675207;1;31;M;Marié;Locataire;2000.00;1;0;6;16213;2;4610;3489.43;3;4666.67;1438;Partenaire;1133.33;199;Partenaire
ID_000281740678;0;23;M;Célibataire;;;1;0;1;1067;1;312;52.00;0;1066.67;607;Partenaire;1066.67;607;Partenaire
ID_000283236359;1;58;M;Célibataire;Locataire;1205.73;1;0;5;9067;1;2485;3900.04;5;1333.33;1790;Partenaire;2666.67;411;Mailing
ID_000283605797;0;34;M;Marié;;;1;0;1;532;1;48;15.47;0;531.60;1746;Partenaire;531.60;1746;Partenaire
ID_000285272472;0;47;F;Célibataire;;;1;0;1;922;1;295;26.67;1;922.27;1377;Partenaire;922.27;1377;Partenaire
ID_000290071043;1;55;M;Célibataire;;;1;0;7;9520;4;3180;289.47;1;666.67;2965;Partenaire;1333.33;452;Mailing
ID_000290253130;0;53;F;Union libre;Propriétaire;1800.00;1;0;1;1067;1;807;42.53;1;1066.67;512;Partenaire;1066.67;512;Partenaire
ID_000291969181;1;47;M;Marié;Locataire;3120.00;1;0;1;5333;1;5576;135.07;5;5333.33;299;Partenaire;5333.33;299;Partenaire
ID_000296272916;1;44;F;Union libre;Locataire;1760.00;1;0;7;10800;1;906;83.20;1;1333.33;7101;Partenaire;2000.00;2404;Partenaire
ID_000297968989;0;33;M;Union libre;Propriétaire;1693.33;1;0;5;7613;1;1699;780.32;4;1613.33;1643;Partenaire;2000.00;255;Mailing
ID_000299627955;0;45;F;Marié;Propriétaire;1400.00;1;0;1;1867;1;1190;52.00;2;1866.67;1077;Partenaire;1866.67;1077;Partenaire
ID_000300066326;1;45;M;Célibataire;Locataire;2133.33;1;0;2;4800;1;3003;205.20;1;800.00;798;Partenaire;4000.00;486;Agence
ID_000303557588;1;41;F;Célibataire;Locataire;116093.33;1;0;3;2000;1;553;1137.37;1;266.67;4196;Partenaire;666.67;272;Agence
ID_000307819406;1;54;F;Célibataire;;;1;0;3;5737;2;5097;85.20;5;403.60;1701;Partenaire;1333.33;101;Mailing
ID_000308739749;1;52;M;Marié;Locataire;1226.67;1;0;8;12260;3;2787;133.20;2;1100.00;7070;Partenaire;2666.67;24;Agence
ID_000312385020;0;39;M;Célibataire;;;1;0;1;975;1;359;33.33;0;975.33;1082;Partenaire;975.33;1082;Partenaire
ID_000317771503;0;48;M;Marié;Propriétaire;2680.00;1;0;6;6533;2;3146;98.44;2;533.33;6159;Partenaire;2666.67;273;Mailing
ID_000317954293;0;34;M;Célibataire;;;1;0;6;9536;2;4521;179.35;3;2000.00;4695;Partenaire;3333.33;96;Mailing
ID_000324787617;0;34;F;Célibataire;Locataire;1800.00;1;0;4;3370;1;648;138.81;0;666.67;4111;Partenaire;970.27;231;Partenaire
ID_000325537565;1;33;M;Célibataire;;;1;0;2;4000;1;1552;89.31;1;2933.33;1253;Partenaire;1066.67;545;Partenaire
ID_000333728472;0;58;M;Divorcé;Locataire;1433.73;1;0;3;1933;1;1166;44.40;5;600.00;2573;Partenaire;1066.67;109;Agence
ID_000334881080;1;39;M;Célibataire;Locataire;893.33;1;0;2;1000;1;421;26.53;1;466.67;1243;Partenaire;533.20;300;Partenaire
ID_000349410895;0;43;M;Marié;Propriétaire;2666.67;1;0;2;9333;1;3183;343.03;0;5333.33;1678;Partenaire;4000.00;361;Partenaire
ID_000351614075;0;32;M;Célibataire;;;1;0;2;1867;1;1154;289.93;2;533.33;1195;Partenaire;1333.33;661;Mailing
ID_000355326537;0;38;M;Marié;Locataire;1200.00;0;0;1;2667;1;2701;121.87;;2666.67;109;Partenaire;2666.67;109;Partenaire
ID_000355564266;1;43;F;Union libre;Propriétaire;2066.67;1;0;4;12533;1;4321;215.73;3;4000.00;2267;Partenaire;4666.67;384;Agence
ID_000365307283;0;29;F;Marié;Locataire;2133.33;1;0;1;1664;1;1357;156.53;0;1663.73;172;Partenaire;1663.73;172;Partenaire
ID_000369803062;0;45;F;Marié;Propriétaire;2066.67;1;0;15;20667;2;6945;4186.64;6;400.00;6003;Partenaire;4000.00;82;Agence
ID_000369838644;1;37;M;Célibataire;;1716.27;1;0;10;21709;1;4994;257.47;4;998.00;3421;Partenaire;5333.33;588;Agence
ID_000369864951;0;57;M;Marié;Propriétaire;1733.33;0;0;1;2667;1;1908;147.87;1;2666.67;389;Partenaire;2666.67;389;Partenaire
ID_000371075148;0;50;F;;;;1;0;2;6667;1;1110;114.67;0;2666.67;6395;Partenaire;4000.00;1243;Agence
ID_000371681661;0;24;F;Célibataire;;186.67;0;0;1;1067;1;601;51.07;;1066.67;391;Partenaire;1066.67;391;Partenaire
ID_000372991920;0;39;M;Union libre;Propriétaire;1600.00;1;0;1;955;1;540;49.87;0;955.33;600;Partenaire;955.33;600;Partenaire
ID_000374341154;0;33;M;Célibataire;;;1;0;1;2667;1;1135;144.53;0;2666.67;562;Partenaire;2666.67;562;Partenaire
ID_000376119303;0;58;M;Marié;Propriétaire;3600.00;1;0;1;4000;1;2995;206.00;1;4000.00;440;Partenaire;4000.00;440;Partenaire
ID_000376870768;0;29;M;Union libre;Propriétaire;2133.33;1;0;3;3033;1;1265;1655.84;3;533.33;1148;Partenaire;1166.27;49;Partenaire
ID_000382280991;0;30;F;Célibataire;;;1;0;1;1266;1;568;35.20;1;1266.40;1338;Partenaire;1266.40;1338;Partenaire
ID_000385361596;1;48;M;Célibataire;;;1;0;6;12700;4;6351;265.87;4;2433.60;;Partenaire;1333.33;105;Mailing
ID_000392016726;1;40;F;Célibataire;;;1;0;6;14267;1;1272;4574.22;5;800.00;5652;Partenaire;1333.33;431;Mailing
ID_000392590471;0;44;F;Marié;Propriétaire;1333.33;0;0;1;1333;1;1256;68.93;0;1333.33;285;Partenaire;1333.33;285;Partenaire
ID_000396976761;0;37;M;Célibataire;Propriétaire;3133.33;1;0;2;6667;1;2880;935.51;6;4000.00;929;Partenaire;2666.67;74;Partenaire
ID_000402944944;1;52;F;Célibataire;;;1;0;6;12133;3;5045;217.82;2;1466.67;6726;Partenaire;3333.33;271;Mailing
ID_000403971731;0;42;M;Célibataire;Propriétaire;1800.00;1;0;2;859;1;671;352.97;2;266.67;1164;Partenaire;592.53;231;Partenaire
ID_000405002411;1;34;F;Divorcé;Locataire;2138.93;1;1;1;3333;1;3584;133.33;2;3333.33;105;Agence;3333.33;105;Agence
ID_000405713912;0;32;M;Célibataire;Locataire;2800.00;1;0;4;6240;1;3023;144.53;4;933.33;2293;Partenaire;3333.33;628;Mailing
ID_000409893602;0;40;M;Divorcé;Propriétaire;1866.67;1;0;2;2000;1;467;0.00;1;1600.00;1668;Partenaire;400.00;391;Partenaire
ID_000413380686;0;51;M;Célibataire;;;1;0;3;8267;1;2957;152.80;1;933.33;2520;Partenaire;5333.33;1363;Agence
ID_000414925925;1;41;M;Célibataire;;;1;0;3;6919;1;1914;85.41;5;252.67;6544;Partenaire;2000.00;431;Mailing
ID_000415563771;0;23;F;;;;1;0;1;733;1;226;29.33;0;733.33;907;Partenaire;733.33;907;Partenaire
ID_000419096975;0;38;M;Célibataire;;;1;0;6;11600;1;3434;45.41;2;400.00;4459;Partenaire;3333.33;62;Mailing
ID_000419820949;0;24;F;Célibataire;Locataire;2106.67;1;0;2;2573;2;2485;75.20;2;1506.40;528;Partenaire;1066.67;179;Partenaire
ID_000419869562;0;45;F;Célibataire;;;1;0;3;5333;2;3279;109.20;5;1333.33;2425;Partenaire;1333.33;48;Mailing
ID_000422694049;0;43;M;Célibataire;;;1;0;2;1600;1;415;42.50;2;933.33;2628;Partenaire;666.67;1379;Mailing
ID_000426993261;0;44;M;Union libre;Locataire;835.47;1;1;1;1600;1;1640;0.00;3;1600.00;112;Partenaire;1600.00;112;Partenaire
ID_000428312585;0;55;F;Célibataire;;;1;0;1;800;1;495;31.47;1;800.00;653;Partenaire;800.00;653;Partenaire
ID_000429386830;0;48;F;Célibataire;;;1;0;4;5200;1;2687;92.39;0;266.67;4953;Partenaire;2666.67;277;Mailing
ID_000432566515;1;48;F;Célibataire;;;1;0;4;3600;3;2625;46.67;2;533.33;3976;Partenaire;1733.33;103;Mailing
ID_000437060943;0;59;F;Célibataire;Locataire;1866.67;1;0;4;4733;1;117;130.40;0;800.00;6775;Partenaire;933.33;425;Partenaire
ID_000441660199;0;39;M;Célibataire;;;1;0;2;3186;1;1231;55.76;4;1733.33;1966;Partenaire;1453.07;861;Partenaire
ID_000443208528;0;22;M;Célibataire;;813.33;1;0;1;1727;0;0;0.00;;1726.67;350;Partenaire;1726.67;350;Partenaire
ID_000449620628;0;30;F;Célibataire;;;1;0;1;533;1;507;13.33;4;533.33;633;Partenaire;533.33;633;Partenaire
ID_000455629570;0;20;M;Célibataire;Locataire;1733.33;1;0;1;733;1;361;66.67;0;733.33;479;Partenaire;733.33;479;Partenaire
ID_000460174960;1;45;F;Célibataire;;;1;0;7;9207;2;3375;3253.77;4;740.00;;Partenaire;1333.33;283;Mailing
ID_000460409823;1;53;F;Célibataire;Locataire;1632.93;1;0;4;10533;2;4558;155.73;4;2000.00;1956;Partenaire;1866.67;455;Partenaire
ID_000469167332;1;45;M;Union libre;Locataire;1200.00;1;0;20;12667;1;2395;1533.18;5;533.33;4024;Partenaire;2266.67;95;Mailing
ID_000469661522;0;46;M;Marié;Locataire;2030.93;1;0;3;9203;0;0;0.00;;3333.33;4080;Partenaire;1336.39;2261;Agence
ID_000472629875;1;50;F;Marié;Propriétaire;2000.00;1;0;4;8067;2;4516;319.07;1;2666.67;1067;Partenaire;2666.67;97;Agence
ID_000478473328;1;35;M;Marié;Propriétaire;1586.67;1;0;3;5202;1;1409;18.16;6;3230.67;3344;Partenaire;1305.07;396;Partenaire
ID_000480179531;0;59;F;Célibataire;;;1;0;3;3067;1;832;153.67;0;400.00;362;Partenaire;1333.33;5;Mailing
ID_000480892904;0;43;F;Divorcé;Locataire;1613.33;0;0;4;6667;1;1461;3565.68;5;1333.33;5922;Partenaire;1333.33;74;Agence
ID_000485232429;0;36;M;Célibataire;;;1;0;9;16600;1;1094;259.17;0;1066.67;6608;Partenaire;1666.67;522;Agence
ID_000486863671;1;42;M;Célibataire;;;1;0;4;5267;2;2146;178.00;0;800.00;4531;Partenaire;1333.33;287;Mailing
ID_000488888750;0;28;M;Célibataire;Propriétaire;1786.67;1;0;1;2667;1;76;106.53;0;2666.67;1137;Partenaire;2666.67;1137;Partenaire
ID_000489532752;1;47;M;Célibataire;;;1;0;2;2333;1;12;74.67;0;533.33;4942;Partenaire;1800.00;1137;Partenaire
ID_000490345283;0;47;F;Célibataire;;;1;0;5;8933;1;2401;214.53;0;1333.33;4037;Partenaire;2400.00;290;Mailing
ID_000492702020;0;49;M;Célibataire;;;1;0;2;1467;1;113;36.40;0;800.00;3117;Partenaire;666.67;707;Partenaire
ID_000492934703;0;55;F;Célibataire;;;1;0;4;8267;1;215;86.67;0;1333.33;3104;Partenaire;1600.00;747;Partenaire
ID_000493493250;0;44;M;Union libre;Propriétaire;2400.00;1;0;2;1267;1;456;42.67;;400.00;7053;Partenaire;866.67;431;Partenaire
ID_000495170681;0;37;F;Célibataire;Locataire;1671.73;0;0;3;2067;1;988;138.27;0;466.67;495;Partenaire;666.67;11;Agence
ID_000495796208;0;41;M;Marié;;;1;0;1;2667;1;458;109.47;0;2666.67;928;Partenaire;2666.67;928;Partenaire
ID_000496285053;0;39;M;Marié;Propriétaire;240.00;1;0;1;800;1;840;0.00;1;800.00;164;Partenaire;800.00;164;Partenaire
ID_000501495724;0;37;M;Célibataire;;;1;0;1;1266;1;470;41.07;1;1265.87;1182;Partenaire;1265.87;1182;Partenaire
ID_000502118664;0;45;M;Célibataire;Propriétaire;1960.00;1;0;7;9733;5;5323;228.69;3;1333.33;2589;Partenaire;1333.33;166;Agence
ID_000502129921;0;56;M;Marié;Locataire;1200.00;1;0;2;5067;1;652;101.73;0;4000.00;3737;Agence;1066.53;376;Partenaire
ID_000502326817;0;34;F;Célibataire;;;1;0;1;2000;1;840;53.87;1;2000.00;2022;Partenaire;2000.00;2022;Partenaire
ID_000507212001;0;46;F;Célibataire;;;1;0;4;3467;1;1039;98.72;2;666.67;5806;Partenaire;1333.33;651;Mailing
ID_000508067638;0;47;F;Célibataire;;;1;0;4;6480;2;1635;250.27;0;2000.00;3811;Partenaire;1333.33;47;Mailing
ID_000517370696;1;45;F;Union libre;Locataire;1560.00;1;0;7;11867;2;2819;348.16;0;666.67;2893;Partenaire;1600.00;132;Agence
ID_000534968806;0;53;F;Marié;;;1;0;6;8933;0;0;0.00;;1333.33;6299;Partenaire;2666.67;3730;Partenaire
ID_000538223449;0;50;F;Marié;Propriétaire;2133.33;1;0;9;17173;1;2556;4769.91;3;666.67;3593;Partenaire;2666.67;234;Mailing
ID_000538647594;0;53;M;Marié;Locataire;2800.00;1;0;4;9000;2;2386;179.20;1;1000.00;4961;Partenaire;3600.00;1878;Mailing
ID_000542620550;1;32;M;Célibataire;;;1;0;4;7901;2;4505;356.33;5;1368.00;2355;Partenaire;1333.33;109;Mailing
ID_000557267332;0;22;M;Célibataire;Locataire;1066.67;0;0;1;1600;1;1533;51.87;3;1600.00;357;Partenaire;1600.00;357;Partenaire
ID_000559071489;0;24;F;Célibataire;;;1;0;2;1273;1;155;26.67;0;379.47;1791;Partenaire;893.33;1690;Partenaire
ID_000563051894;0;57;F;Célibataire;;;1;0;3;5333;1;1251;54.93;2;666.67;3794;Partenaire;2000.00;1859;Mailing
ID_000569864436;0;47;F;Célibataire;;;1;0;6;3867;1;171;31.20;0;533.33;3702;Partenaire;666.67;1362;Mailing
ID_000576731277;0;50;F;Marié;;;1;0;9;19333;2;4868;6392.86;5;933.33;5285;Partenaire;4000.00;116;Mailing
ID_000580366618;1;39;F;Célibataire;;;1;0;5;9867;3;4964;684.80;1;2666.67;1799;Partenaire;3333.33;280;Mailing
